gwasAcronym	gwasTrait	gwasUrl	gwasFilename	gwasArticle	gwasPubmed	gwasDownloadDate	gwasAncestry	gwasExclude	gwasNotes	acknowledgements	inMultiReg	inGgoma	hasNewVersion
bip2_BDII	Bipolar Disorder type II	https://www.med.unc.edu/pgc/download-results/	daner_pgc3_BDII_nm.neff.gz	Genome-wide association study of over 40,000 bipolar disorder cases provides novel biological insights	34002096	2020-11-20	mixed	0	-	-	0	0	0
bmi	BMI	http://portals.broadinstitute.org/collaboration/giant/images/1/15/SNP_gwas_mc_merge_nogc.tbl.uniq.gz	SNP_gwas_mc_merge_nogc.tbl.uniq.gz	Genetic studies of body mass index yield new insights for obesity biology	25673413	2017-02-03	eur	0		-	1	1	0
cad	Coronary Artery Disease	http://www.cardiogramplusc4d.org/media/cardiogramplusc4d-consortium/data-downloads/cad.additive.Oct2015.pub.zip	cad.add.160614.website.txt	A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease	26343387	2017-02-03	mixed (77% eur)	0	Data on coronary artery disease / myocardial infarction have been contributed by CARDIoGRAMplusC4D investigators and have been downloaded from www.CARDIOGRAMPLUSC4D.ORG	-	1	1	0
cd	Crohn's Disease	ftp://ftp.sanger.ac.uk/pub/consortia/ibdgenetics/iibdgc-trans-ancestry-filtered-summary-stats.tgz	EUR.CD.gwas_info03_filtered.assoc	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations	26192919	2017-02-02	eur	0	-	-	1	0	0
chrono	Chronotype	http://www.t2diabetesgenes.org/datasets/Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci	27494321	2017-02-03	eur	0	morning evening person	-	1	1	0
cognPerf	Cognitive performance	https://www.thessgac.org/data	GWAS_CP_all.txt	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals	30038396		eur	0			0	0	0
creativity_MetaAnalysis_EUR	creativity_MetaAnalysis_EUR	-	creativity.3cohorts.sumstats.forexport.gz	-	-		eur	0			0	0	0
cross_ipsych	Cross-disorder iPSYCH	https://ipsych.au.dk/downloads/	iPSYCH_xDx_sumStats.txt.gz	A genome-wide association study of shared risk across psychiatric disorders implicates gene regulation during fetal neurodevelopment	30692689		unk	0			0	0	0
dm2	Type 2 Diabetes	http://diagram-consortium.org/downloads.html	Mahajan.NatGenet2018b.T2D.European.zip	Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps	30297969	2019-01-29	eur	0	-	-	0	0	0
dm2adj	Type 2 Diabetes (adjusted for BMI)	http://diagram-consortium.org/downloads.html	Mahajan.NatGenet2018b.T2Dbmiadj.European.zip	Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps	30297969	2019-01-29	eur	0	-	-	0	0	0
drinking	Drinks per week	https://www.dropbox.com/s/7hjxdhlxlwa482n/DRINKS_PER_WEEK_GWAS.txt?dl=1	DRINKS_PER_WEEK_GWAS.txt.gz	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences	30643258	2019-01-29	eur	0	-	-	0	0	0
ds	Depressive Symptoms	http://ssgac.org/documents/DS_Full.txt.gz	DS_Full.txt.gz	Genetic variants associated with subjective well-being, depressive symptoms and neuroticism identified through genome-wide analyses	27089181	2017-02-03	eur	0	-	-	1	1	0
ebmd	Bone Mineral Density	http://www.gefos.org/sites/default/files/BEurope-Bmd-As-C-Gwas-SumStats.txt_0.gz	BEurope-Bmd-As-C-Gwas-SumStats.txt_0.gz	Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis	28869591	2020-07-19	eur	0			0	0	0
edu	Education Years	http://ssgac.org/documents/EduYears_Main.txt.gz	EduYears_Main.txt.gz	Genome-wide association study identifies 74 loci associated with educational attainment	28197077	2017-02-03	eur	0	-	-	1	1	0
eduAttainment	Educational attainment	https://www.thessgac.org/data	GWAS_EA_excl23andMe.txt	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals	30038396		eur	0			0	0	0
epilepsyFocal	Epilepsy focal	http://www.epigad.org/gwas_ilae2018_16loci/focal_lesion_negative_BOLT-LMM_final.gz	focal_HS_BOLT-LMM_final.gz	Genome-wide mega-analysis identifies 16 loci and highlights diverse biological mechanisms in the common epilepsies	30531953	2020-07-19	eur	0	I used caucassian subset (that creates over 95% of all epilepsy cases in the full dataset).		0	0	0
epilepsyGeneralized	Epilepsy generalized	http://www.epigad.org/gwas_ilae2018_16loci/GTCS_BOLT-LMM_final.gz	GTCS_BOLT-LMM_final.gz	Genome-wide mega-analysis identifies 16 loci and highlights diverse biological mechanisms in the common epilepsies	30531953	2020-07-19	eur	0	I used caucassian subset (that creates over 95% of all epilepsy cases in the full dataset).		0	0	0
ffm_agreeableness	FFM, Agreeableness	http://www.tweelingenregister.org/GPC/	GPC-1.NEO-AGREEABLENESS.full.txt	Meta-analysis of genome-wide association studies for personality	21173776		eur	0			0	0	0
ffm_conscientiousness	FFM, Conscientiousness	http://www.tweelingenregister.org/GPC/	GPC-1.NEO-CONSCIENTIOUSNESS.full.txt	Meta-analysis of genome-wide association studies for personality	21173776		eur	0			0	0	0
ffm_extraversion_1	FFM, Extraversion GPC-1	http://www.tweelingenregister.org/GPC/	GPC-1.NEO-EXTRAVERSION.full.txt	Meta-analysis of genome-wide association studies for personality	21173776		eur	0			0	0	0
ffm_extraversion_2	FFM, Extraversion GPC-2	http://www.tweelingenregister.org/GPC/	GPC-2.EXTRAVERSION.full.txt	Meta-analysis of Genome-Wide Association Studies for Extraversion: Findings from the Genetics of Personality Consortium	26362575		eur	0			0	0	0
ffm_neuroticism	FFM, Neuroticism GPC-1	http://www.tweelingenregister.org/GPC/	GPC-1.NEO-NEUROTICISM.full.txt	Meta-analysis of genome-wide association studies for personality	21173776		eur	0			0	0	0
ffm_neuroticism_2	FFM, Neuroticism GPC-2	http://www.tweelingenregister.org/GPC/	GPC-2.NEUROTICISM.full.txt	Meta-analysis of Genome-wide Association Studies for Neuroticism, and the Polygenic Association With Major Depressive Disorder	25993607		eur	0			0	0	0
ffm_openness	FFM, Openness	http://www.tweelingenregister.org/GPC/	GPC-1.NEO-OPENNESS.full.txt	Meta-analysis of genome-wide association studies for personality	21173776		eur	0			0	0	0
fluIntel	Fluid intelligence score	http://atlas.ctglab.nl/ukb2_sumstats/f.20016.0.0_res.EUR.sumstats.MACfilt.txt.gz	f.20016.0.0_res.EUR.sumstats.MACfilt.txt.gz	A global view of pleiotropy and genetic architecture in complex traits	31427789	2019-01-29	eur	0	-	-	0	0	0
gaming	Plays computer	http://atlas.ctglab.nl/ukb2_sumstats/f.2237.0.0_res.EUR.sumstats.MACfilt.txt.gz	f.2237.0.0_res.EUR.sumstats.MACfilt.txt.gz	A global view of pleiotropy and genetic architecture in complex traits	31427789	2019-01-29	eur	0	-	-	0	0	0
height	Height	http://portals.broadinstitute.org/collaboration/giant/images/0/01/GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq.txt.gz	GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq.txt.gz	Defining the role of common variation in the genomic and biological architecture of adult human height	25282103	2017-02-03	eur	0	-	-	1	1	0
ibd	Inflammatory Bowel Disease	ftp://ftp.sanger.ac.uk/pub/consortia/ibdgenetics/iibdgc-trans-ancestry-filtered-summary-stats.tgz	EUR.IBD.gwas_info03_filtered.assoc	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations	26192919	2017-02-02	eur	0	-	-	0	1	0
ich	Intracerebral hemorrhage (all)	http://cerebrovascularportal.org/informational/downloads	ICH_GWAS_phase1_finalresults_allICH	Meta-analysis of genome-wide association studies identifies 1q22 as a susceptibility locus for intracerebral hemorrhage	24656865		eur	0			0	0	0
ich_deep	Intracerebral hemorrhage (deep)	http://cerebrovascularportal.org/informational/downloads	ICH_GWAS_phase1_finalresults_deepICH	Meta-analysis of genome-wide association studies identifies 1q22 as a susceptibility locus for intracerebral hemorrhage	24656865		eur	0			0	0	0
ich_lobar	Intracerebral hemorrhage (lobar)	http://cerebrovascularportal.org/informational/downloads	ICH_GWAS_phase1_finalresults_lobarICH	Meta-analysis of genome-wide association studies identifies 1q22 as a susceptibility locus for intracerebral hemorrhage	24656865		eur	0			0	0	0
insomn	Insomnia	http://ctg.cncr.nl/documents/p1651/Hammerschlag_NatGenet2017_insomnia_sumstats-full_040517.txt.gz	Hammerschlag_NatGenet2017_insomnia_sumstats-full_040517.txt.gz	Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits	28604731	2017-06-16	eur	0	for next paper; not added to magma yet	-	0	1	1
insomn2	Insomnia 2	https://ctg.cncr.nl/documents/p1651/Insomnia_sumstats_Jansenetal.txt.gz	Insomnia_sumstats_Jansenetal.txt.gz	Genome-wide analysis of insomnia in 1,331,010 individuals identifies new risk loci and functional pathways	30804565	2019-01-29	eur	0	-	-	0	0	0
intel2	Intelligence 2	https://ctg.cncr.nl/documents/p1651/SavageJansen_IntMeta_sumstats.zip	SavageJansen_IntMeta_sumstats.zip	Genome-wiide association meta-analysis (N=269,867) identifies new genetic and functional links to intelligence	29942086	2019-01-29	eur	0	-	-	0	0	0
intel	Intelligence	http://ctg.cncr.nl/documents/p1651/sumstats.txt.gz	sumstats.txt.gz	Genome-wide association meta-analysis of 78,308 individuals identifies new loci and genes influencing human intelligence	28530673	2017-06-16	eur	0	for next paper; not added to magma yet	-	0	1	1
lipidLDL	LDL Cholesterol	http://csg.sph.umich.edu/abecasis/public/lipids2013/jointGwasMc_LDL.txt.gz	jointGwasMc_LDL.txt.gz	Discovery and refinement of loci associated with lipid levels	24097068	2020-07-19	mixed (95% eur)	0			0	0	0
lipidHDL	HDL Cholesterol	http://csg.sph.umich.edu/abecasis/public/lipids2013/jointGwasMc_HDL.txt.gz	jointGwasMc_HDL.txt.gz	Discovery and refinement of loci associated with lipid levels	24097068	2020-07-19	mixed (95% eur)	0			0	0	0
lipidTriglycerides	Triglycerides	http://csg.sph.umich.edu/abecasis/public/lipids2013/jointGwasMc_TG.txt.gz	jointGwasMc_TG.txt.gz	Discovery and refinement of loci associated with lipid levels	24097068	2020-07-19	mixed (95% eur)	0			0	0	0
lipidCholTotal	Total Cholesterol	http://csg.sph.umich.edu/abecasis/public/lipids2013/jointGwasMc_TC.txt.gz	jointGwasMc_TC.txt.gz	Discovery and refinement of loci associated with lipid levels	24097068	2020-07-19	mixed (95% eur)	0			0	0	0
mdd	Depression		daner_MDD29.0515a.results.gz	-	-		Unk	0		-	0	0	1
mdd_ipsych_narrow	Depression narrowly defined			Depression pathophysiology, risk prediction of recurrence and comorbid psychiatric disorders using genome-wide analyses	37464041	From-sanan	eur	0	-	-	0	0	0
mdd_ipsych	Major Depressive Disorder (iPSYCH)	https://filesender.deic.dk/?s=download&token=ea4daf83-65cb-fc54-cff3-ec0a5c00b94f		Depression pathophysiology, risk prediction of recurrence and comorbid psychiatric disorders using genome-wide analyses	37464041	2021-04-22	eur	0	-		0	0	0
adhd_ipsych	ADHD (iPSYCH)	https://filesender.deic.dk/?s=download&token=14a0d8d2-f61e-46b6-86c7-9175372b4f11	daner_MDDwoBP_20201001_HRC_MDDwoBP_Howard_FinnGen_MVPafMAF01.gz	Genome-wide analyses of ADHD identify 27 risk loci, refine the genetic architecture and implicate several cognitive domains	-	2021-05-27	Unk	0	-		0	0	0
mdd_wray	Depression (without 23andMe)	https://datashare.is.ed.ac.uk/handle/10283/3203	PGC_UKB_depression_genome-wide.txt.gz	Genome-wide association analyses identify 44 risk variants and refine the genetic architecture of major depression	29700475		eur	0	-		0	0	0
mdd2	Major Depressive Disorder	23andMe_private_repository (via Box)	PGC_UKB_23andMe_depression_genome-wide.txt	Genome-wide meta-analysis of depression identifies 102 independent variants and highlights the importance of the prefrontal brain regions	30718901	2019-08-05	eur	1	23andMe requires 30days for data usage check before papers submission (publication-review@23andme.com). They request that all manuscripts using our data be made open access or submitted to an open access journal.	23andMe research team on authorlist.	0	0	0
mem	Prospective memory	http://atlas.ctglab.nl/ukb2_sumstats/f.4291.0.0_res.EUR.sumstats.MACfilt.txt.gz	f.4291.0.0_res.EUR.sumstats.MACfilt.txt.gz	A global view of pleiotropy and genetic architecture in complex traits	31427789	2019-01-29	eur	0	-	-	0	0	0
migraine	Migraine	http://atlas.ctglab.nl/ukb2_sumstats/20002_1265_logistic.EUR.sumstats.MACfilt.txt.gz	20002_1265_logistic.EUR.sumstats.MACfilt.txt.gz	A global view of pleiotropy and genetic architecture in complex traits	31427789	2019-01-29	eur	0	-	-	0	0	0
migraines_2021	Migraine 2021			A generalized linear mixed model association tool for biobank-scale data	34737426	From-sanan	eur	0	-	-	0	0	0
mLOY_MVP	Mosaic loss of chromosome Y	https://drive.google.com/drive/folders/1PEGwI_dAWdMcq-BTlBqcSPMg78HhhSNg?usp=sharing_eip_m&ts=642dbfa9	mLOY.MVP-EUR.regenie.imputed.SEFIXED.tsv.gz	Genetic determinants of mosaic loss of chromosome Y and their associations with clinical phenotypes in the Million Veteran Program	-	2023-04-05	eur	0	Note publication requirements		0	0	0
ms	Multiple Sclerosis	NA	discovery_metav3.0.meta	The Multiple Sclerosis Genomic Map: Role of peripheral immune cells and resident microglia in susceptibility	31604244	-	eur	1	-	-	0	0	0
neu	Neuroticism	http://ssgac.org/documents/Neuroticism_Full.txt.gz	Neuroticism_Full.txt.gz	Genetic variants associated with subjective well-being, depressive symptoms and neuroticism identified through genome-wide analyses	27089181	2017-02-03	eur	0	-	-	1	1	1
neu2	Neuroticism 2	https://ctg.cncr.nl/documents/p1651/sumstats_neuro_sum_ctg_format.txt.gz	sumstats_neuro_sum_ctg_format.txt.gz	Item-level analyses reveal genetic heterogeneity in neuroticism	29500382	2019-01-29	eur	0	-	-	0	0	0
ocd	Obsessive compulsive disorder	http://www.med.unc.edu/pgc/results-and-downloads	ocd_aug2017.zip	Revealing the complex genetic architecture of obsessive-compulsive disorder using meta-analysis	28761083		eur	0			0	0	0
pd	Parkinson Disease	23andMe_private_repository (via Box)	nallsEtAl2019_allSamples_allVariants.tab	Identification of novel risk loci, causal insights, and heritable risk for Parkinson's disease: a meta-analysis of genome-wide association studies	31701892	2019-07-23	eur	1	23andMe requires 30days for data usage check before papers submission (publication-review@23andme.com). They request that all manuscripts using our data be made open access or submitted to an open access journal.	23andMe research team on authorlist.	0	0	0
pd_without_23andMe	Parkinson Disease (without 23andMe)	-	https://pdgenetics.org/resources/	Identification of novel risk loci, causal insights, and heritable risk for Parkinson's disease: a meta-analysis of genome-wide association studies	31701892	2021-01-19	eur	1	This version is imperfect as I annotated only about 60% of sumstats by rsID. It should be re-done with all SNPs annotated.	-	0	0	0
phoneUse	Phone use	http://atlas.ctglab.nl/ukb2_sumstats/f.1110.0.0_res.EUR.sumstats.MACfilt.txt.gz	f.1110.0.0_res.EUR.sumstats.MACfilt.txt.gz	A global view of pleiotropy and genetic architecture in complex traits	31427789	2019-01-29	eur	0	-	-	0	0	0
ptsd_1	PTSD PGC v1	http://www.med.unc.edu/pgc/results-and-downloads	SORTED_PTSD_EA9_AA7_LA1_SA2_ALL_study_specific_PCs1.txt	Largest GWAS of PTSD (N=20 070) yields genetic overlap with schizophrenia and sex differences in heritability	28439101		eur	0			0	0	0
ptsd_2	PTSD PGC v2	unpublished	all_dec28_2017_maf01_info6.results_nefff	-			unk	0			0	0	0
ptsd_2019	PTSD 2019			International meta-analysis of PTSD genome-wide association studies identifies sex- and ancestry-specific genetic risk loci	31594949	From-sanan	mixed	0	-	-	0	0	0
ptsd_mvp_cc	PTSD MVP CC	-	MVP_PTSD_18_2.EUR.maf0.01.hwe1e-6.rsq0.9.merged.filtered.annotated	-	-		unk	0			0	0	0
ptsd_mvp_rex	PTSD MVP REX	-	MVP_PTSD_RXP_18_2.EUR.maf0.01.hwe1e-6.rsq0.9.merged.filtered.annotated	-	-		unk	0			0	0	0
ra	Rheumatoid Arthritis	http://plaza.umin.ac.jp/~yokada/datasource/files/GWASMetaResults/RA_GWASmeta_European_v2.txt.gz	RA_GWASmeta_European_v2.txt.gz	Genetics of rheumatoid arthritis contributes to biology and drug discovery	24390342	2017-06-22	eur	0		-	0	0	0
RA_2022_Saevarsdottir	RA_2022_Saevarsdottir	https://www.decode.com/summarydata/	RA_GWASmeta_European_v2.txt.gz	Multiomics analysis of rheumatoid arthritis yields sequence variants that have large effects on risk of the seropositive subset	35470158	2024-01-01	eur	0		-	0	0	0
reacTime	Reaction time	http://www.psy.ed.ac.uk/ccace/downloads/Davies_NC_2018.zip	Davies_NC_2018.zip	Study of 300,486 individuals identifies 148 independent genetic loci influencing general cognitive function.	29844566	2019-01-29	eur	0	-	-	0	0	0
riskTolerance	Risk tolerance	https://www.dropbox.com/s/il1d7vabk5283dm/RISK_GWAS_MA_UKB%2Breplication.txt?dl=0	RISK_GWAS_MA_UKB+replication.txt	Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences.	30643258	2020-07-18	eur	0	General-risk-tolerance GWAS meta-analysis of the UKB and the 10 replication cohorts, listed according to physical position. (This meta-analysis excludes the 23andMe cohort.) Sample Size (n_max) = 466,571.		0	0	0
sa_bip	Suicide attempt BD	http://www.tweelingenregister.org/GPC/	SA_in_BIP_2019.gz	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores	31164008		eur	0			0	0	0
sa_mdd	Suicide attempt MDD	http://www.tweelingenregister.org/GPC/	SA_in_MDD_2019.gz	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores	31164008		eur	0			0	0	0
sa_mdd_bip_scz	Suicide attempt BD-MDD-SCZ	http://www.tweelingenregister.org/GPC/	SA_in_MDD_BIP_SCZ_2019.gz	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores	31164008		eur	0			0	0	0
sa_scz	Suicide attempt SCZ	http://www.tweelingenregister.org/GPC/	SA_in_SCZ_2019.gz	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores	31164008		eur	0			0	0	0
sexPartners	Sex partners	https://www.dropbox.com/s/erl8tn4sy81kseu/NUMBER_SEXUAL_PARTNERS_GWAS.txt?dl=0	NUMBER_SEXUAL_PARTNERS_GWAS.txt	Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences.	30643258	2020-07-18	eur	0	The GWAS of number of sexual partners in the UKB, listed according to physical position. Sample Size (n_max) = 370,711		0	0	0
sle	Systemic Lupus Erythematosus	NA	SLE.txt.gz	Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus	26502338	NA	eur	0	Author: The effect size should be with respect to the AlleleB as we used SNPTEST	David L Morris and Timothy J Vyse were awarded funding to carry out genotyping and analysis for the European GWAS from the George Koukis Foundation and an Arthritis Research UK Special Strategic Award (ref. 19289) and the Biomedical Research Centre. Also please add Philip Tombleson in acknowledgements for his work on insidegen.com. Also, Timothy J Vyse for data access.	0	1	0
sleep	Sleep Duration	http://www.t2diabetesgenes.org/datasets/Sleep_Duration_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	Sleep_Duration_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci	27494321	2017-02-03	eur	0	-	-	1	1	0
smoking	Ever smoker	https://www.dropbox.com/s/o7wgwhnhjgt3eyn/EVER_SMOKER_GWAS_MA_UKB%2BTAG.txt?dl=1	EVER_SMOKER_GWAS_MA_UKBplusTAG.txt.gz	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences	30643258	2019-01-29	eur	0	-	-	0	0	0
stroke	Ischemic stroke (all)	http://cerebrovascularportal.org/informational/downloads	metastroke.all.chr.bp	Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE collaboration): a meta-analysis of genome-wide association studies	23041239		eur	0			0	0	0
ext	Externalizing	https://www.dropbox.com/sh/nswb4ao445h3xi1/AACaEEkdrgQKyJpIgg51we4wa?dl=0	GSEM.GWAS.EXTERNALIZING.excl23andMe.SHARE.v20220715.txt.gz	34446935 and Williams, C., et al. (Manuscript in Preparation). Facilitating the Application of Externalizing Summary Statistics in Behavioral and Biomedical Research	-		-	0			0	0	0
stroke_2018	Stroke			Genome-wide meta-analysis identifies 3 novel loci associated with stroke	30383316	From-sanan	eur	0	-	-	0	0	0
stroke_ce	Ischemic stroke (cardioembolic)	http://cerebrovascularportal.org/informational/downloads	metastroke.ce.chr.bp	Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE collaboration): a meta-analysis of genome-wide association studies	23041239		eur	0			0	0	0
stroke_lvd	Ischemic stroke (large vessel)	http://cerebrovascularportal.org/informational/downloads	metastroke.lvd.chr.bp	Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE collaboration): a meta-analysis of genome-wide association studies	23041239		eur	0			0	0	0
